InscClaimAmtReimbursed_sum,InscClaimAmtReimbursed_mean,InscClaimAmtReimbursed_std,InscClaimAmtReimbursed_count,DeductibleAmtPaid_sum,DeductibleAmtPaid_mean,TotalClaims,UniqueBeneficiaries,InpatientClaims,OutpatientClaims,ClaimsPerBeneficiary,InpatientRatio,UniqueAttendingPhysicians,UniqueOperatingPhysicians,UniqueOtherPhysicians,TotalUniquePhysicians,AvgClaimDuration,MaxClaimDuration,AvgHospitalStay,MaxHospitalStay,TotalClaimsWithDates,TotalStaysWithDates,UniqueDiagnoses,UniqueProcedures,AvgMaleRatio,MostCommonRace,AvgRenalDiseaseRate,UniqueStates,UniqueCounties,AvgPartACoverage,AvgPartBCoverage,AvgBeneIPReimbursement,AvgBeneOPReimbursement
5940,228.46,302.85,26,70.0,2.69,26,21,0,26,1.24,0.0,1,1,1,3,0.0384615384615384,1,0.0,0,26,0,46,0,0.286,1,0.19,1,1,12.0,12.0,6277.143,1518.571
112690,1977.02,6790.95,57,6508.0,114.18,57,34,6,51,1.68,0.105,25,10,15,50,1.6140350877192982,20,7.333333333333333,11,57,6,123,7,0.441,1,0.206,2,12,12.0,12.0,9083.235,1704.118
22520,321.71,679.32,70,140.0,2.0,70,69,0,70,1.01,0.0,37,9,19,65,0.5857142857142857,20,0.0,0,70,0,151,0,0.493,1,0.174,7,18,12.0,12.0,5652.899,2381.594
82850,647.27,1539.94,128,6938.0,54.2,128,122,6,122,1.05,0.047,43,17,41,101,1.6875,20,4.166666666666667,6,128,6,282,4,0.352,1,0.139,5,8,11.803,11.984,4661.885,2123.934
4620,271.76,447.93,17,150.0,8.82,17,11,0,17,1.55,0.0,8,4,9,21,0.8823529411764706,12,0.0,0,17,0,39,0,0.091,1,0.091,1,4,12.0,12.0,1922.727,1232.727
283610,7090.25,8127.9,40,30004.0,769.33,40,32,29,11,1.25,0.725,9,3,4,16,5.4,34,6.275862068965517,34,40,29,187,15,0.375,1,0.25,1,8,12.0,12.0,14426.875,1565.625
38990,278.5,560.45,140,700.0,5.0,140,118,0,140,1.19,0.0,72,20,40,132,1.5214285714285714,20,0.0,0,140,0,289,0,0.407,1,0.229,6,24,12.0,11.898,4201.441,3038.051
297820,3867.79,8740.91,77,24724.0,325.32,77,76,24,53,1.01,0.312,48,19,18,85,2.0259740259740258,20,4.083333333333333,16,77,24,224,20,0.395,1,0.224,4,21,12.0,12.0,7671.184,2140.395
150,75.0,35.36,2,0.0,0.0,2,2,0,2,1.0,0.0,1,1,1,3,7.0,14,0.0,0,2,0,4,0,0.5,1,0.0,1,1,12.0,12.0,0.0,4010.0
31970,1522.38,4102.62,21,2216.0,105.52,21,21,2,19,1.0,0.095,8,4,5,17,2.095238095238096,17,13.5,17,21,2,50,3,0.476,1,0.286,3,7,11.81,12.0,7603.81,3187.143
3260,296.36,455.02,11,50.0,4.55,11,5,0,11,2.2,0.0,2,2,2,6,0.8181818181818182,9,0.0,0,11,0,25,0,0.2,1,0.2,1,2,12.0,12.0,3660.0,3200.0
3020,251.67,504.9,12,0.0,0.0,12,12,0,12,1.0,0.0,1,1,1,3,0.0833333333333333,1,0.0,0,12,0,21,0,0.25,1,0.167,1,2,12.0,12.0,3272.5,1905.833
6620,264.8,389.62,25,0.0,0.0,25,23,0,25,1.09,0.0,16,2,6,24,1.64,20,0.0,0,25,0,64,0,0.565,1,0.174,3,11,12.0,12.0,2127.826,3735.217
920,306.67,427.71,3,0.0,0.0,3,1,0,3,3.0,0.0,2,0,0,2,0.0,0,0.0,0,3,0,3,0,0.0,1,0.0,1,1,12.0,12.0,0.0,1970.0
19060,257.57,566.41,74,200.0,2.7,74,63,0,74,1.17,0.0,2,2,1,5,1.5,20,0.0,0,74,0,149,0,0.444,1,0.143,1,2,12.0,12.0,3271.746,1906.19
20350,363.39,636.62,56,2376.0,42.43,56,44,2,54,1.27,0.036,23,11,9,43,1.4464285714285714,20,3.5,5,56,2,117,0,0.455,1,0.227,4,6,11.909,12.0,1573.636,2525.909
6850,685.0,1279.79,10,100.0,10.0,10,10,0,10,1.0,0.0,1,1,1,3,0.0,0,0.0,0,10,0,26,0,0.3,1,0.1,1,1,12.0,12.0,800.0,2421.0
41000,20500.0,21920.31,2,2136.0,1068.0,2,2,2,0,1.0,1.0,1,1,0,2,12.0,19,12.0,19,2,2,17,1,0.5,1,0.0,1,1,12.0,12.0,51165.0,1180.0
360,72.0,75.63,5,0.0,0.0,5,4,0,5,1.25,0.0,2,1,1,4,2.4,7,0.0,0,5,0,9,0,0.5,1,0.0,2,2,12.0,12.0,3750.0,2270.0
7500,182.93,362.26,41,390.0,9.51,41,13,0,41,3.15,0.0,6,5,5,16,1.0731707317073171,20,0.0,0,41,0,103,0,0.615,1,0.231,1,5,12.0,12.0,2744.615,2970.769
13420,213.02,517.49,63,130.0,2.06,63,44,0,63,1.43,0.0,8,5,7,20,0.984126984126984,20,0.0,0,63,0,142,0,0.386,1,0.136,1,11,12.0,11.727,3044.318,1130.455
23280,228.24,465.18,102,220.0,2.16,102,89,0,102,1.15,0.0,44,14,30,88,1.3235294117647058,20,0.0,0,102,0,214,0,0.416,1,0.157,4,18,11.865,11.978,3722.921,2058.652
19380,251.69,512.54,77,50.0,0.65,77,74,0,77,1.04,0.0,51,10,23,84,1.4935064935064934,20,0.0,0,77,0,163,0,0.432,1,0.23,17,31,12.0,11.986,3638.784,2875.27
9600,204.26,398.58,47,80.0,1.7,47,43,0,47,1.09,0.0,20,5,12,37,1.3617021276595744,20,0.0,0,47,0,100,0,0.302,1,0.186,2,10,12.0,11.93,4286.047,2437.674
22880,262.99,551.61,87,330.0,3.79,87,64,0,87,1.36,0.0,7,6,6,19,1.3333333333333333,20,0.0,0,87,0,168,0,0.359,1,0.156,3,5,12.0,12.0,2069.062,2374.688
2930,586.0,856.43,5,0.0,0.0,5,5,0,5,1.0,0.0,2,0,1,3,4.0,20,0.0,0,5,0,11,0,0.4,1,0.6,1,1,12.0,12.0,0.0,5594.0
320740,1688.11,4007.76,190,34776.0,183.03,190,123,32,158,1.54,0.168,17,13,10,40,2.247368421052632,34,5.3125,34,190,32,395,16,0.423,1,0.195,5,16,12.0,12.0,5771.301,2000.65
18000,6000.0,4582.58,3,3204.0,1068.0,3,3,3,0,1.0,1.0,2,1,0,3,2.6666666666666665,4,2.6666666666666665,4,3,3,26,2,0.0,1,0.667,1,1,12.0,12.0,20030.0,6646.667
42330,320.68,635.44,132,570.0,4.32,132,100,0,132,1.32,0.0,54,25,32,111,2.257575757575758,20,0.0,0,132,0,248,0,0.5,1,0.17,5,24,11.88,11.94,2929.9,2069.7
3910,558.57,966.2,7,20.0,2.86,7,6,0,7,1.17,0.0,2,1,2,5,0.0,0,0.0,0,7,0,17,0,0.0,1,0.167,1,2,12.0,12.0,7500.0,3988.333
7460,191.28,291.77,39,0.0,0.0,39,32,0,39,1.22,0.0,20,7,12,39,1.6666666666666667,20,0.0,0,39,0,80,0,0.406,1,0.094,2,9,11.625,11.938,5305.0,1546.562
18130,262.75,599.65,69,310.0,4.49,69,43,0,69,1.6,0.0,14,8,9,31,0.463768115942029,14,0.0,0,69,0,148,0,0.558,1,0.186,2,5,12.0,11.721,3279.767,1406.279
640,91.43,96.34,7,0.0,0.0,7,7,0,7,1.0,0.0,1,1,1,3,1.0,7,0.0,0,7,0,12,0,0.429,1,0.143,1,1,12.0,12.0,14142.857,3855.714
191990,1230.71,5107.79,156,14334.0,91.88,156,147,13,143,1.06,0.083,68,31,38,137,1.9679487179487176,22,5.230769230769231,22,156,13,315,9,0.401,1,0.15,7,26,12.0,12.0,7265.034,2473.061
3860,643.33,750.64,6,0.0,0.0,6,5,0,6,1.2,0.0,5,1,1,7,6.666666666666667,20,0.0,0,6,0,14,0,0.8,1,0.4,2,4,12.0,12.0,2000.0,5072.0
14650,281.73,589.89,52,80.0,1.54,52,29,0,52,1.79,0.0,15,5,9,29,1.9807692307692308,20,0.0,0,52,0,101,0,0.414,1,0.207,2,7,12.0,12.0,4551.724,2207.586
224580,1987.43,8774.75,113,8704.0,78.41,113,109,10,103,1.04,0.088,80,25,39,144,2.106194690265487,20,5.6,13,113,10,255,11,0.477,1,0.202,10,34,11.862,11.899,6667.89,2021.101
109700,4986.36,12059.51,22,10770.0,489.55,22,22,10,12,1.0,0.455,18,5,7,30,4.045454545454546,20,6.7,20,22,10,80,6,0.455,1,0.227,1,11,12.0,12.0,13298.636,2786.818
400530,3544.51,8414.25,113,39646.0,350.85,113,99,37,76,1.14,0.327,65,25,24,114,2.3008849557522124,35,6.0,35,113,37,331,20,0.485,1,0.172,3,30,11.828,11.879,6755.96,1578.485
31730,528.83,1756.24,60,3304.0,55.07,60,32,3,57,1.88,0.05,11,6,8,25,2.583333333333333,20,5.666666666666667,9,60,3,166,0,0.406,1,0.219,4,12,12.0,12.0,8175.0,2401.875
255250,303.15,606.04,842,1490.0,1.77,842,259,0,842,3.25,0.0,21,19,17,57,1.5807600950118763,20,0.0,0,842,0,1018,3,0.421,1,0.174,3,14,11.954,11.946,2548.919,1722.973
80,80.0,0.0,1,0.0,0.0,1,1,0,1,1.0,0.0,1,0,1,2,0.0,0,0.0,0,1,0,4,0,1.0,1,0.0,1,1,12.0,12.0,0.0,870.0
161020,3744.65,10947.18,43,7576.0,176.19,43,40,7,36,1.08,0.163,24,10,13,47,2.627906976744186,35,10.0,35,43,7,104,5,0.45,1,0.3,3,13,12.0,12.0,8586.75,2843.0
516360,1458.64,4240.78,354,47472.0,134.86,354,327,46,308,1.08,0.13,170,75,90,335,1.689265536723164,30,5.021739130434782,30,354,46,644,30,0.428,1,0.223,9,41,11.963,11.982,6171.254,1877.431
964660,8536.81,11441.08,113,97218.0,875.84,113,97,93,20,1.16,0.823,18,12,8,38,4.964601769911504,21,5.806451612903226,21,113,93,407,51,0.515,1,0.268,1,11,12.0,12.0,15082.268,2485.464
2300,191.67,310.57,12,0.0,0.0,12,8,0,12,1.5,0.0,2,2,2,6,0.1666666666666666,2,0.0,0,12,0,41,0,0.5,1,0.25,2,3,12.0,12.0,5125.0,3021.25
45140,1025.91,2659.03,44,5380.0,122.27,44,44,5,39,1.0,0.114,22,9,10,41,1.5,20,4.2,7,44,5,122,3,0.386,1,0.205,6,16,12.0,11.864,6180.455,2114.773
727600,6382.46,16224.54,114,58678.0,519.27,114,98,55,59,1.16,0.482,40,18,23,81,3.5526315789473686,35,5.6909090909090905,35,114,55,344,26,0.418,1,0.214,1,14,11.633,11.867,8610.306,2976.429
57690,600.94,1560.93,96,5740.0,60.42,96,88,6,90,1.09,0.062,50,13,22,85,1.3854166666666667,20,2.833333333333333,5,96,6,203,4,0.375,1,0.182,9,18,11.864,11.955,5453.977,1807.614
5000,5000.0,0.0,1,1068.0,1068.0,1,1,1,0,1.0,1.0,1,0,0,1,5.0,5,5.0,5,1,1,9,0,0.0,1,1.0,1,1,12.0,12.0,15000.0,2810.0
776560,3788.1,7315.05,205,75070.0,367.99,205,189,71,134,1.08,0.346,44,18,29,91,3.029268292682927,35,6.676056338028169,35,205,71,485,36,0.46,1,0.206,5,30,12.0,11.937,8770.317,2199.206
68000,9714.29,5089.67,7,7476.0,1068.0,7,6,7,0,1.17,1.0,1,1,1,3,5.714285714285714,9,5.714285714285714,9,7,7,55,6,0.167,1,0.167,1,2,12.0,12.0,30790.0,946.667
480,120.0,125.7,4,0.0,0.0,4,4,0,4,1.0,0.0,1,0,1,2,0.0,0,0.0,0,4,0,14,0,0.25,1,0.0,1,1,12.0,12.0,8250.0,870.0
32580,218.66,331.24,149,110.0,0.74,149,101,0,149,1.48,0.0,1,1,1,3,0.9328859060402684,20,0.0,0,149,0,251,0,0.396,1,0.149,1,1,11.881,11.881,5455.545,1500.396
14840,380.51,655.1,39,120.0,3.08,39,36,0,39,1.08,0.0,8,5,3,16,2.230769230769231,20,0.0,0,39,0,99,0,0.5,1,0.306,2,5,12.0,12.0,4063.889,3497.5
105010,1810.52,3824.8,58,9612.0,165.72,58,57,9,49,1.02,0.155,44,12,17,73,2.8793103448275863,20,5.444444444444445,18,58,9,146,10,0.316,1,0.298,3,16,11.789,11.789,6549.123,2404.912
40510,285.28,504.78,142,400.0,2.82,142,131,0,142,1.08,0.0,21,16,18,55,1.204225352112676,20,0.0,0,142,0,253,0,0.427,1,0.168,3,4,11.908,12.0,3401.908,1692.214
1270,211.67,196.0,6,0.0,0.0,6,3,0,6,2.0,0.0,4,0,2,6,3.333333333333333,20,0.0,0,6,0,21,0,0.0,1,0.333,1,1,12.0,12.0,0.0,463.333
3950,263.33,407.02,15,90.0,6.0,15,15,0,15,1.0,0.0,10,1,7,18,0.1333333333333333,2,0.0,0,15,0,34,0,0.467,1,0.067,2,3,12.0,12.0,6196.0,1576.0
600,66.67,57.45,9,130.0,14.44,9,9,0,9,1.0,0.0,5,2,3,10,0.0,0,0.0,0,9,0,23,0,0.556,1,0.222,1,4,12.0,12.0,7888.889,1294.444
170,56.67,11.55,3,0.0,0.0,3,3,0,3,1.0,0.0,1,0,1,2,0.0,0,0.0,0,3,0,9,0,0.333,1,0.333,1,1,12.0,12.0,17123.333,2406.667
120000,10909.09,7105.7,11,11748.0,1068.0,11,11,11,0,1.0,1.0,2,2,0,4,5.636363636363637,20,5.636363636363637,20,11,11,74,9,0.727,1,0.273,1,1,12.0,12.0,15388.182,1347.273
116390,2645.23,6871.17,44,7616.0,173.09,44,28,7,37,1.57,0.159,18,5,11,34,1.5227272727272727,15,4.0,8,44,7,115,6,0.393,1,0.214,1,11,12.0,12.0,3590.0,1828.214
19070,1466.92,4163.5,13,1068.0,82.15,13,13,1,12,1.0,0.077,8,3,6,17,1.5384615384615383,13,3.0,3,13,1,45,2,0.462,1,0.154,2,5,12.0,12.0,9403.077,2456.923
47350,211.38,397.37,224,380.0,1.7,224,82,0,224,2.73,0.0,35,17,32,84,1.4285714285714286,20,0.0,0,224,0,401,0,0.39,1,0.171,1,14,12.0,11.854,2800.732,1432.927
53000,8833.33,5671.57,6,6408.0,1068.0,6,6,6,0,1.0,1.0,1,1,1,3,4.5,9,4.5,9,6,6,41,6,0.667,1,0.5,2,4,12.0,12.0,16848.333,5005.0
35590,265.6,610.4,134,170.0,1.27,134,91,0,134,1.47,0.0,25,9,16,50,1.462686567164179,20,0.0,0,134,0,250,0,0.352,1,0.187,2,12,12.0,11.879,5145.934,1874.396
2440,143.53,213.98,17,60.0,3.53,17,17,0,17,1.0,0.0,2,1,1,4,0.0,0,0.0,0,17,0,32,0,0.471,1,0.118,1,1,12.0,12.0,2655.882,1274.118
6460,248.46,422.99,26,0.0,0.0,26,16,0,26,1.62,0.0,9,5,7,21,1.0769230769230769,20,0.0,0,26,0,53,0,0.5,1,0.188,1,6,12.0,11.562,2031.875,1435.625
190,47.5,41.13,4,0.0,0.0,4,4,0,4,1.0,0.0,3,0,2,5,0.0,0,0.0,0,4,0,9,0,0.25,1,0.0,1,1,12.0,12.0,4875.0,2375.0
80,80.0,0.0,1,0.0,0.0,1,1,0,1,1.0,0.0,1,0,1,2,0.0,0,0.0,0,1,0,1,0,1.0,1,0.0,1,1,12.0,12.0,0.0,5360.0
22060,259.53,449.33,85,170.0,2.0,85,62,0,85,1.37,0.0,4,2,3,9,0.9058823529411764,20,0.0,0,85,0,165,0,0.403,1,0.113,3,19,12.0,12.0,3452.258,1876.935
85620,1821.7,5247.67,47,8614.0,183.28,47,45,8,39,1.04,0.17,19,7,11,37,2.25531914893617,20,5.875,11,47,8,136,6,0.4,1,0.111,2,10,12.0,12.0,7352.0,1730.889
4900,490.0,1002.29,10,0.0,0.0,10,9,0,10,1.11,0.0,8,0,2,10,3.6,20,0.0,0,10,0,24,0,0.333,1,0.222,1,6,12.0,12.0,1028.889,1583.333
140,70.0,0.0,2,0.0,0.0,2,2,0,2,1.0,0.0,1,1,1,3,0.0,0,0.0,0,2,0,8,0,0.0,1,0.0,1,1,12.0,12.0,0.0,620.0
41250,310.15,600.2,133,340.0,2.56,133,117,0,133,1.14,0.0,1,1,1,3,1.6466165413533835,20,0.0,0,133,0,258,0,0.41,1,0.171,1,2,11.795,12.0,4604.017,1920.0
108640,4023.7,6152.46,27,10680.0,395.56,27,25,10,17,1.08,0.37,19,11,9,39,4.481481481481482,22,6.0,22,27,10,111,10,0.32,1,0.12,2,7,12.0,12.0,9378.8,2183.6
3400,1700.0,2262.74,2,0.0,0.0,2,2,0,2,1.0,0.0,2,0,0,2,0.0,0,0.0,0,2,0,2,0,0.0,1,0.0,1,2,12.0,12.0,2000.0,3620.0
4210,526.25,1126.35,8,0.0,0.0,8,8,0,8,1.0,0.0,1,0,1,2,0.0,0,0.0,0,8,0,22,0,0.375,1,0.375,1,2,12.0,12.0,5475.0,1392.5
4120,457.78,1072.3,9,110.0,12.22,9,7,0,9,1.29,0.0,5,3,2,10,0.0,0,0.0,0,9,0,14,0,0.286,1,0.143,1,5,12.0,12.0,2014.286,1145.714
812530,5142.59,8981.83,158,69530.0,442.87,158,119,66,92,1.33,0.418,80,33,28,141,3.721518987341772,24,5.287878787878788,24,158,66,415,32,0.437,1,0.168,7,44,11.798,11.992,9421.261,2013.697
14270,648.64,1090.41,22,160.0,7.27,22,22,0,22,1.0,0.0,2,2,2,6,3.4545454545454546,20,0.0,0,22,0,51,0,0.273,1,0.136,1,4,12.0,12.0,6174.545,2487.273
273200,4268.75,7983.24,64,28966.0,467.19,64,53,29,35,1.21,0.453,16,4,7,27,3.34375,24,5.827586206896552,24,64,29,213,24,0.453,1,0.226,2,11,12.0,11.774,6890.0,1695.094
39290,309.37,610.44,127,300.0,2.36,127,61,0,127,2.08,0.0,1,1,1,3,1.3858267716535433,20,0.0,0,127,0,264,0,0.377,1,0.197,1,5,12.0,12.0,5835.902,2143.934
1220,122.0,106.96,10,0.0,0.0,10,8,0,10,1.25,0.0,7,1,5,13,0.0,0,0.0,0,10,0,17,0,0.375,1,0.0,1,2,12.0,12.0,6535.0,3398.75
562270,971.11,3424.73,579,50728.0,87.92,579,279,48,531,2.08,0.083,39,30,32,101,1.7841105354058722,35,4.604166666666667,35,579,48,849,28,0.401,1,0.161,2,20,11.921,11.935,4209.749,1646.057
71310,1296.55,3614.54,55,7646.0,139.02,55,50,7,48,1.1,0.127,38,13,18,69,1.7636363636363637,20,7.857142857142857,17,55,7,158,5,0.52,1,0.12,4,17,12.0,12.0,6536.6,2162.6
3970,248.12,393.3,16,0.0,0.0,16,16,0,16,1.0,0.0,3,1,2,6,0.0,0,0.0,0,16,0,33,0,0.438,3,0.125,1,1,11.25,12.0,3700.0,1996.875
9020,281.88,634.69,32,180.0,5.62,32,26,0,32,1.23,0.0,1,1,1,3,1.9375,20,0.0,0,32,0,56,0,0.423,1,0.308,1,1,12.0,12.0,3165.385,1870.385
103960,4158.4,9651.93,25,7576.0,315.67,25,25,8,17,1.0,0.32,23,5,8,36,2.84,20,3.75,10,25,8,79,5,0.64,1,0.24,4,7,11.52,12.0,8107.2,3736.4
1540,385.0,677.18,4,0.0,0.0,4,4,0,4,1.0,0.0,2,1,1,4,0.75,3,0.0,0,4,0,8,0,0.25,1,0.25,1,3,12.0,12.0,11895.0,1337.5
1870,170.0,199.4,11,0.0,0.0,11,11,0,11,1.0,0.0,2,2,2,6,1.9090909090909087,20,0.0,0,11,0,26,0,0.364,1,0.182,1,2,12.0,12.0,8054.545,1756.364
120400,470.31,1470.14,256,9044.0,35.47,256,96,9,247,2.67,0.035,23,10,15,48,1.25,20,5.888888888888889,13,256,9,435,4,0.417,1,0.115,1,9,12.0,11.865,3387.396,1125.521
560,186.67,185.83,3,0.0,0.0,3,3,0,3,1.0,0.0,3,0,2,5,0.0,0,0.0,0,3,0,13,0,0.333,1,0.667,1,2,12.0,12.0,6666.667,2520.0
45460,303.07,567.5,150,0.0,0.0,150,105,0,150,1.43,0.0,6,6,4,16,1.5933333333333333,20,0.0,0,150,0,291,0,0.333,1,0.105,1,5,12.0,11.857,4591.714,1885.905
7200,160.0,178.44,45,0.0,0.0,45,33,0,45,1.36,0.0,2,2,0,4,1.3555555555555556,20,0.0,0,45,0,95,0,0.424,1,0.121,1,3,12.0,12.0,2061.818,996.364
540,135.0,178.61,4,0.0,0.0,4,3,0,4,1.33,0.0,4,0,1,5,0.0,0,0.0,0,4,0,9,0,0.333,1,0.0,3,3,12.0,12.0,0.0,2493.333
38140,261.23,550.74,146,510.0,3.49,146,86,0,146,1.7,0.0,26,11,18,55,0.9178082191780822,20,0.0,0,146,0,277,0,0.419,1,0.14,3,12,11.86,12.0,4108.837,2149.302
445240,1436.26,5006.11,310,33668.0,108.61,310,288,31,279,1.08,0.1,118,47,57,222,2.403225806451613,30,7.161290322580645,30,310,31,579,21,0.42,1,0.205,15,45,11.833,11.993,5681.493,2024.236
8650,157.27,311.58,55,110.0,2.0,55,50,0,55,1.1,0.0,42,13,18,73,0.6363636363636364,20,0.0,0,55,0,128,2,0.42,1,0.16,5,17,12.0,12.0,4470.2,2202.8
13600,566.67,749.53,24,0.0,0.0,24,19,0,24,1.26,0.0,8,2,7,17,1.7083333333333333,20,0.0,0,24,0,56,0,0.421,1,0.053,2,5,12.0,12.0,1443.158,1692.105
129000,12900.0,13584.71,10,10680.0,1068.0,10,10,10,0,1.0,1.0,3,2,1,6,5.6,9,5.6,9,10,10,63,7,0.4,1,0.0,1,3,12.0,10.8,15102.0,374.0
200,200.0,0.0,1,0.0,0.0,1,1,0,1,1.0,0.0,1,1,0,2,0.0,0,0.0,0,1,0,1,0,1.0,1,0.0,1,1,12.0,12.0,0.0,730.0
10250,183.04,440.05,56,100.0,1.79,56,24,0,56,2.33,0.0,14,4,9,27,1.2857142857142858,20,0.0,0,56,0,133,0,0.208,1,0.0,1,5,11.0,11.5,2429.167,1309.167
105080,344.52,674.61,305,3296.0,10.81,305,270,2,303,1.13,0.007,42,22,38,102,1.4,20,1.5,2,305,2,484,1,0.426,1,0.159,7,25,11.956,11.952,4528.148,1971.074
8020,267.33,643.37,30,0.0,0.0,30,28,0,30,1.07,0.0,15,4,10,29,2.2666666666666666,20,0.0,0,30,0,68,0,0.643,1,0.179,3,9,12.0,12.0,1846.071,2045.0
4480,1120.0,1289.55,4,0.0,0.0,4,3,0,4,1.33,0.0,2,0,0,2,0.0,0,0.0,0,4,0,6,0,0.333,1,0.333,1,2,12.0,12.0,2666.667,3063.333
11830,257.17,511.45,46,0.0,0.0,46,36,0,46,1.28,0.0,14,9,7,30,0.8260869565217391,20,0.0,0,46,0,101,0,0.389,1,0.222,2,4,12.0,12.0,4100.0,2413.333
5030,186.3,259.88,27,170.0,6.3,27,27,0,27,1.0,0.0,2,2,2,6,1.2222222222222223,20,0.0,0,27,0,64,0,0.444,1,0.185,1,1,12.0,12.0,2194.444,1338.889
5170,198.85,458.32,26,0.0,0.0,26,21,0,26,1.24,0.0,2,2,2,6,1.2307692307692308,20,0.0,0,26,0,58,0,0.381,1,0.0,1,5,11.429,11.905,3540.952,1678.571
168000,21000.0,21718.98,8,8544.0,1068.0,8,7,8,0,1.14,1.0,4,2,1,7,6.875,15,6.875,15,8,8,60,11,0.429,1,0.143,2,4,12.0,12.0,31474.286,5698.571
280020,327.89,933.85,854,2270.0,2.66,854,455,0,854,1.88,0.0,10,11,10,31,1.5011709601873535,20,0.0,0,854,0,1082,2,0.4,1,0.176,2,11,11.91,11.818,3620.418,1845.956
190,47.5,41.13,4,0.0,0.0,4,4,0,4,1.0,0.0,1,1,1,3,0.25,1,0.0,0,4,0,9,0,0.75,1,0.0,1,1,12.0,12.0,0.0,2487.5
1519950,2951.36,7427.5,515,149482.0,292.53,515,354,143,372,1.45,0.278,8,9,6,23,2.586407766990291,35,5.587412587412588,35,515,143,903,67,0.429,1,0.195,7,19,11.977,11.918,7075.254,2055.339
92430,1444.22,3358.33,64,10820.0,169.06,64,62,10,54,1.03,0.156,47,12,18,77,3.5,20,6.1,17,64,10,172,5,0.452,1,0.258,4,14,12.0,12.0,5584.194,2833.387
170,85.0,21.21,2,0.0,0.0,2,2,0,2,1.0,0.0,2,0,1,3,0.0,0,0.0,0,2,0,5,0,0.0,1,0.0,1,2,12.0,12.0,0.0,575.0
82850,5917.86,13640.83,14,4272.0,305.14,14,13,4,10,1.08,0.286,9,2,6,17,3.571428571428572,20,7.0,12,14,4,54,2,0.462,1,0.154,3,8,12.0,12.0,13310.769,2350.0
70,70.0,0.0,1,0.0,0.0,1,1,0,1,1.0,0.0,1,0,0,1,0.0,0,0.0,0,1,0,1,0,0.0,1,0.0,1,1,12.0,12.0,10000.0,940.0
4310,239.44,468.12,18,0.0,0.0,18,16,0,18,1.12,0.0,10,1,3,14,2.2222222222222223,20,0.0,0,18,0,37,0,0.375,1,0.125,1,7,12.0,12.0,5501.25,3439.375
5710,1427.5,2395.77,4,1068.0,267.0,4,4,1,3,1.0,0.25,3,1,3,7,1.75,7,7.0,7,4,1,16,1,0.0,1,0.75,1,2,12.0,12.0,14750.0,990.0
80690,333.43,667.11,242,460.0,1.9,242,219,0,242,1.11,0.0,115,29,54,198,1.2727272727272727,20,0.0,0,242,0,398,0,0.411,1,0.164,12,38,11.89,11.986,6013.79,2381.826
1680910,4775.31,8277.43,352,171670.0,490.49,352,334,162,190,1.05,0.46,77,38,47,162,3.4232954545454546,30,5.049382716049383,30,352,162,710,74,0.431,1,0.195,25,49,11.91,11.964,9616.707,2086.766
16450,342.71,655.9,48,180.0,3.75,48,38,0,48,1.26,0.0,1,1,1,3,0.4583333333333333,20,0.0,0,48,0,105,0,0.342,1,0.184,1,1,12.0,12.0,3769.474,1804.474
204810,3593.16,7739.13,57,17188.0,301.54,57,53,16,41,1.08,0.281,3,4,3,10,2.473684210526316,26,5.375,26,57,16,180,12,0.377,1,0.113,2,6,12.0,12.0,6324.717,2527.358
267000,9206.9,7603.47,29,30972.0,1068.0,29,27,29,0,1.07,1.0,3,2,1,6,6.0,18,6.0,18,29,29,163,17,0.259,1,0.296,1,2,11.815,11.667,14922.593,1751.111
691860,5964.31,8419.5,116,69420.0,614.34,116,89,68,48,1.3,0.586,4,4,4,12,4.586206896551724,32,6.367647058823529,32,116,68,369,46,0.393,1,0.225,1,7,11.955,12.0,9778.09,1497.865
81290,378.09,736.71,215,180.0,0.84,215,100,0,215,2.15,0.0,2,2,1,5,2.158139534883721,20,0.0,0,215,0,392,0,0.41,1,0.23,2,8,11.88,12.0,4492.3,2792.5
20,10.0,14.14,2,0.0,0.0,2,2,0,2,1.0,0.0,1,0,1,2,0.0,0,0.0,0,2,0,9,0,0.5,1,0.0,2,2,12.0,12.0,0.0,1525.0
12550,330.26,626.49,38,290.0,7.63,38,36,0,38,1.06,0.0,29,6,9,44,0.1052631578947368,1,0.0,0,38,0,74,0,0.333,1,0.25,4,11,12.0,12.0,2921.944,1718.056
3890,194.5,267.08,20,0.0,0.0,20,19,0,20,1.05,0.0,13,1,10,24,0.0,0,0.0,0,20,0,41,0,0.368,1,0.053,1,7,12.0,12.0,2241.053,1957.368
152590,441.01,1130.69,346,9194.0,26.57,346,175,8,338,1.98,0.023,29,25,26,80,1.638728323699422,20,3.375,8,346,8,562,6,0.417,1,0.126,4,11,11.931,11.84,3539.829,1597.2
1290,645.0,784.89,2,0.0,0.0,2,2,0,2,1.0,0.0,2,0,0,2,0.0,0,0.0,0,2,0,2,0,0.5,1,0.0,1,1,12.0,12.0,0.0,1130.0
232580,2058.23,5085.58,113,20762.0,183.73,113,88,19,94,1.28,0.168,37,15,20,72,2.9911504424778763,20,6.578947368421052,16,113,19,279,6,0.5,1,0.182,2,8,12.0,11.864,4575.455,2180.455
6230,168.38,322.16,37,30.0,0.81,37,27,0,37,1.37,0.0,12,4,8,24,2.189189189189189,20,0.0,0,37,0,96,0,0.444,1,0.148,1,3,12.0,12.0,4984.815,1391.481
